id,name,email,grade
1,Kathleen Delacruz,cody47@example.net,2.72
2,April Jones,timothymiller@example.com,1.84
3,Michael Daniels,jacobyu@example.net,1.89
4,Lori Weber,westlouis@example.net,2.0
5,Austin Pearson,swansonjulie@example.net,3.5
6,Angela Blair,harperkenneth@example.org,1.97
7,Joseph Erickson,dknapp@example.org,3.06
8,April Hunter PhD,ernest09@example.com,2.55
9,Laura Pacheco,rebecca85@example.net,3.6
10,Brian Wilson,martinjoseph@example.com,0.8
11,Todd Ingram,turnerteresa@example.org,2.76
12,Dylan Dalton,williamwilliams@example.com,2.17
13,Jenny Tyler,mferrell@example.net,0.16
14,Richard Cooper,aarnold@example.org,2.88
15,Nicholas Palmer,james48@example.net,0.94
16,Jessica Johnson,alicia29@example.net,1.54
17,Mrs. Michelle Ward,jgonzales@example.com,0.34
18,Leslie Taylor,trich@example.org,1.56
19,Julie Morris,petermayo@example.net,3.2
20,Mr. David Myers,bgibbs@example.com,1.68
21,Jeffrey Wright,smithsabrina@example.com,3.43
22,Steven Cox,matthew63@example.net,1.54
23,Joshua Long,nicholas78@example.net,3.91
24,Jonathan Mckay,samanthamedina@example.net,0.61
25,Candace Davis,ywarren@example.com,3.22
26,Robin Allen,jacobmarshall@example.net,2.53
27,Laura Smith,kristin72@example.net,0.09
28,John Hall,kathleenthomas@example.com,2.52
29,Alexis Ford,bradleyjimmy@example.net,0.74
30,Todd York,garciamark@example.net,3.83
31,Anita Morrow,caroline40@example.net,2.78
32,Olivia Schmidt,michaelcastro@example.com,3.73
33,Diane Taylor,sara68@example.org,0.75
34,Christopher Charles,calderoncurtis@example.com,2.33
35,Colin Ortega,hwilcox@example.com,0.65
36,Sara Taylor,fwest@example.net,1.12
37,Carol Patterson,powersjose@example.com,2.31
38,Ashley Davis,diazalyssa@example.org,1.38
39,Marc Stanton,marklevy@example.com,0.32
40,Debra Whitaker,rosemichael@example.net,2.74
41,Angela House,clayton85@example.net,1.24
42,Jonathan Hall,michaelpatton@example.net,3.41
43,Justin Dickerson,sheppardcindy@example.net,1.61
44,Michael Grant,evansandrea@example.net,2.33
45,Matthew Fleming,carlosbarnes@example.com,3.15
46,Megan Chandler,josephmyers@example.org,1.68
47,Jessica Levine,harrisonwesley@example.org,2.28
48,Nicholas Brooks,epowell@example.com,3.11
49,Shannon Hall,waltersdennis@example.net,0.67
50,Lisa Lucas,millerelizabeth@example.com,0.78
51,Donna David,mccluredavid@example.com,3.27
52,Jeremy Thompson,fvega@example.org,0.47
53,Patricia Alexander,susanwright@example.org,2.83
54,Diane Middleton,joyce46@example.net,3.3
55,Timothy Bennett,shannonkatelyn@example.net,2.47
56,Ashley Fox,stanley11@example.net,3.23
57,Maria Thompson,anitabennett@example.com,0.99
58,Steven Smith,kristen52@example.com,0.99
59,Joshua Wright,ubarnes@example.com,2.43
60,Darrell Caldwell,schroedernicholas@example.org,2.38
61,Gerald Maynard,rharrison@example.org,0.2
62,Kaitlyn Moss,johnstone@example.net,0.48
63,Joseph Grant,chad47@example.org,1.68
64,Robert Patterson,harrissamuel@example.net,3.86
65,Jeffrey Mooney,elizabeth68@example.net,3.73
66,Christina Burton,juliabrown@example.org,0.93
67,William Diaz,parkmary@example.com,1.86
68,Crystal Williams,paceamber@example.net,3.14
69,Kevin Moore,michelle66@example.com,0.54
70,Courtney Miller,srobinson@example.com,3.71
71,Allison Navarro,sara38@example.net,1.24
72,Loretta Jones,maddenmatthew@example.com,0.39
73,Dave York,james73@example.net,1.18
74,Shawn Young,cindy29@example.org,2.86
75,Jorge Cook,ihicks@example.net,2.09
76,Jacqueline Williams,regina02@example.com,3.43
77,Randy Richmond,josewalter@example.org,0.42
78,David Becker,ggarrett@example.com,0.61
79,Dr. Debra Foster,alexisrice@example.net,1.42
80,Justin Camacho,christiandixon@example.net,2.01
81,Jennifer Rubio,david83@example.net,2.81
82,Nathaniel Gamble,kimberlycobb@example.com,2.78
83,Diana Quinn,davidturner@example.net,3.74
84,Matthew Garcia,travis70@example.net,3.96
85,Rachel Velasquez,jeremy28@example.com,2.12
86,Jeffery Clark,lesliecarter@example.com,2.56
87,Christy Beard,ovaldez@example.net,3.69
88,John Mendez,hward@example.com,0.42
89,Kayla Green,mbright@example.com,2.07
90,Stacy Peterson,katherinegarcia@example.net,1.81
91,Kyle Chapman,aliciahorton@example.net,0.05
92,Mark Miller,villegaskathleen@example.com,3.74
93,Christopher Patterson,hjohnson@example.net,1.83
94,Katie Moore,ashley11@example.net,0.07
95,Shannon Hansen,riverasean@example.org,3.67
96,Aaron Garrett,wvasquez@example.com,1.94
97,Luis Thornton,cboyd@example.org,1.52
98,Kimberly Murphy,alexanderstone@example.org,0.61
99,Kimberly Bradley,fleon@example.com,2.46
100,Angela Hill,clarkshannon@example.net,3.24
